DATABASE,,,Flashcards,,,,
,,,h5p.json,content/content.json,Input,Assets,Format
Lesson.Listening.glossary[0].term,,,,dialogs.0.answer,,,
Lesson.Listening.glossary[0].definition,,,,dialogs.0.text,,,
Lesson.Listening.glossary[0].picture,,,,dialogs.0.image.path,,content/images/image-5cd0724d1a6d6.png,
Lesson.Listening.glossary[0].mp3,,,,dialogs.0.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3,
Lesson.Listening.glossary[1].term,,,,dialogs.1.answer,,,
Lesson.Listening.glossary[1].definition,,,,dialogs.1.text,,,
Lesson.Listening.glossary[1].picture,,,,dialogs.1.image.path,,content/images/image-5cd07304ab251.png,
Lesson.Listening.glossary[1].mp3,,,,dialogs.1.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3,
Lesson.Listening.glossary[2].term,,,,dialogs.2.answer,,,
Lesson.Listening.glossary[2].definition,,,,dialogs.2.text,,,
Lesson.Listening.glossary[2].picture,,,,dialogs.2.image.path,,content/images/image-5cd0c5824492f.png,
Lesson.Listening.glossary[2].mp3,,,,dialogs.2.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3,
Lesson.Listening.glossary[3].term,,,,dialogs.3.answer,,,
Lesson.Listening.glossary[3].definition,,,,dialogs.3.text,,,
Lesson.Listening.glossary[3].picture,,,,dialogs.3.image.path,,content/images/image-5cd0c58d6398a.png,
Lesson.Listening.glossary[3].mp3,,,,dialogs.3.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3,
Lesson.Listening.glossary[4].term,,,,dialogs.4.answer,,,
Lesson.Listening.glossary[4].definition,,,,dialogs.4.text,,,
Lesson.Listening.glossary[4].picture,,,,dialogs.4.image.path,,content/images/image-5cd0c595b1a20.png,
Lesson.Listening.glossary[4].mp3,,,,dialogs.4.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3,
Lesson.Listening.glossary[5].term,,,,dialogs.5.answer,,,
Lesson.Listening.glossary[5].definition,,,,dialogs.5.text,,,
Lesson.Listening.glossary[5].picture,,,,dialogs.5.image.path,,content/images/image-5cd0c5a0db822.png,
Lesson.Listening.glossary[5].mp3,,,,dialogs.5.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3,
Lesson.Listening.glossary[6].term,,,,dialogs.6.answer,,,
Lesson.Listening.glossary[6].definition,,,,dialogs.6.text,,,
Lesson.Listening.glossary[6].picture,,,,dialogs.6.image.path,,content/images/image-5cd0c5a85365b.png,
Lesson.Listening.glossary[6].mp3,,,,dialogs.6.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3,
Lesson.Listening.glossary[7].term,,,,dialogs.7.answer,,,
Lesson.Listening.glossary[7].definition,,,,dialogs.7.text,,,
Lesson.Listening.glossary[7].picture,,,,dialogs.7.image.path,,content/images/image-5cd0d083c0900.png,
Lesson.Listening.glossary[7].mp3,,,,dialogs.7.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3,
Lesson.Listening.glossary[8].term,,,,dialogs.8.answer,,,
Lesson.Listening.glossary[8].definition,,,,dialogs.8.text,,,
Lesson.Listening.glossary[8].picture,,,,dialogs.8.image.path,,content/images/image-5cd0c94c003e5.png,
Lesson.Listening.glossary[8].mp3,,,,dialogs.8.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3,
Lesson.Listening.glossary[9].term,,,,dialogs.9.answer,,,
Lesson.Listening.glossary[9].definition,,,,dialogs.9.text,,,
Lesson.Listening.glossary[9].picture,,,,dialogs.9.image.path,,content/images/image-5cd0c92508cdf.png,
Lesson.Listening.glossary[9].mp3,,,,dialogs.9.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3,
Lesson.Writing.glossary[0].term,,,,dialogs.10.answer,,,
Lesson.Writing.glossary[0].definition,,,,dialogs.10.text,,,
Lesson.Writing.glossary[0].picture,,,,dialogs.10.image.path,,,
Lesson.Writing.glossary[0].mp3,,,,dialogs.10.audio.path,,,
Lesson.Writing.glossary[1].term,,,,dialogs.11.answer,,,
Lesson.Writing.glossary[1].definition,,,,dialogs.11.text,,,
Lesson.Writing.glossary[1].picture,,,,dialogs.11.image.path,,,
Lesson.Writing.glossary[1].mp3,,,,dialogs.11.audio.path,,,
Lesson.Writing.glossary[2].term,,,,dialogs.12.answer,,,
Lesson.Writing.glossary[2].definition,,,,dialogs.12.text,,,
Lesson.Writing.glossary[2].picture,,,,dialogs.12.image.path,,,
Lesson.Writing.glossary[2].mp3,,,,dialogs.12.audio.path,,,
Lesson.Writing.glossary[3].term,,,,dialogs.13.answer,,,
Lesson.Writing.glossary[3].definition,,,,dialogs.13.text,,,
Lesson.Writing.glossary[3].picture,,,,dialogs.13.image.path,,,
Lesson.Writing.glossary[3].mp3,,,,dialogs.13.audio.path,,,
Lesson.Writing.glossary[4].term,,,,dialogs.14.answer,,,
Lesson.Writing.glossary[4].definition,,,,dialogs.14.text,,,
Lesson.Writing.glossary[4].picture,,,,dialogs.14.image.path,,,
Lesson.Writing.glossary[4].mp3,,,,dialogs.14.audio.path,,,
