DATABASE,,,ProgressCheck,,,,
,,,h5p.json,content/content.json,Input,Assets,Format
Lesson.name,,,title,,,,
,,,,endGame.failVideo.0.path,,,randomFailVideo
,,,,endGame.successVideo.0.path,,,randomSuccessVideo
Lesson.Conversation.resources[0].mp3,,,,questions.0.params.media.params.files.0.path,,,
Lesson.Conversation.resources[0].questions[0].question,,,,questions.0.params.question,,,
Lesson.Conversation.resources[0].questions[0].options[0].text,,,,questions.0.params.answers.0.text,,,
Lesson.Conversation.resources[0].questions[0].options[1].text,,,,questions.0.params.answers.1.text,,,
Lesson.Conversation.resources[0].questions[0].options[2].text,,,,questions.0.params.answers.2.text,,,
Lesson.Conversation.resources[0].questions[0].options[3].text,,,,questions.0.params.answers.3.text,,,
Lesson.Conversation.resources[0].mp3,,,,questions.1.params.media.params.files.0.path,,,
Lesson.Conversation.resources[0].questions[1].question,,,,questions.1.params.question,,,
Lesson.Conversation.resources[0].questions[1].options[0].text,,,,questions.1.params.answers.0.text,,,
Lesson.Conversation.resources[0].questions[1].options[1].text,,,,questions.1.params.answers.1.text,,,
Lesson.Conversation.resources[0].questions[1].options[2].text,,,,questions.1.params.answers.2.text,,,
Lesson.Conversation.resources[0].questions[1].options[3].text,,,,questions.1.params.answers.3.text,,,
Lesson.Conversation.resources[0].mp3,,,,questions.2.params.media.params.files.0.path,,,
Lesson.Conversation.resources[0].questions[2].question,,,,questions.2.params.question,,,
Lesson.Conversation.resources[0].questions[2].options[0].text,,,,questions.2.params.answers.0.text,,,
Lesson.Conversation.resources[0].questions[2].options[1].text,,,,questions.2.params.answers.1.text,,,
Lesson.Conversation.resources[0].questions[2].options[2].text,,,,questions.2.params.answers.2.text,,,
Lesson.Conversation.resources[0].questions[2].options[3].text,,,,questions.2.params.answers.3.text,,,
Lesson.Reading.resources[1].mp3,,,,questions.3.params.media.params.files.0.path,,,
Lesson.Reading.resources[1].questions[1].question,,,,questions.3.params.question,,,
Lesson.Reading.resources[1].questions[1].options[0].text,,,,questions.3.params.answers.0.text,,,
Lesson.Reading.resources[1].questions[1].options[1].text,,,,questions.3.params.answers.1.text,,,
Lesson.Reading.resources[1].questions[1].options[2].text,,,,questions.3.params.answers.2.text,,,
Lesson.Conversation.resources[1].name,,,,questions.6.metadata.title,,,
Lesson.Conversation.resources[1].name,,,,questions.6.metadata.extraTitle,,,
Lesson.Reading.resources[0].mp3,,,,questions.4.params.media.params.files.0.path,,,
Lesson.Reading.resources[0].instructions.en,,,,questions.4.params.taskDescription,,,
Lesson.Reading.resources[0].questions[0].question,,,,questions.4.params.textField,,,
Lesson.Reading.resources[1].mp3,,,,questions.5.params.media.params.files.0.path,,,
Lesson.Reading.resources[1].instructions.en,,,,questions.5.params.taskDescription,,,
Lesson.Reading.resources[1].questions[0].question,,,,questions.5.params.textField,,,
Lesson.Writing.resources[0].mp3,,,,questions.6.params.media.params.files.0.path,,,
Lesson.Writing.resources[0].instructions.en,,,,questions.6.params.taskDescription,,,
Lesson.Writing.resources[0].questions[0].question,,,,questions.6.params.textField,,,
Lesson.Writing.resources[1].mp3,,,,questions.7.params.media.params.files.0.path,,,
Lesson.Writing.resources[1].instructions.en,,,,questions.7.params.text,,,
Lesson.Writing.resources[1].questions[0].question,,,,questions.7.params.questions.0,,,
Lesson.Reading.resources[2].mp3,,,,questions.8.params.media.params.files.0.path,,,
Lesson.Reading.resources[2].instructions.en,,,,questions.8.params.taskDescription,,,
Lesson.Reading.resources[2].questions[0].question,,,,questions.8.params.textField,,,
Lesson.Writing.resources[2].instructions.en,,,,questions.9.params.taskDescription,,,
Lesson.Writing.resources[2].questions[0].question,,,,questions.9.params.textField,,,
Lesson.Writing.resources[3].mp3,,,,questions.10.params.media.params.files.0.path,,,
Lesson.Writing.resources[3].body,,,,questions.10.params.textField,,,
Lesson.Writing.resources[3].instructions.en,,,,questions.10.params.taskDescription,,,
Lesson.Reading.resources[3],,,,questions.11.params.question,,,questionToEmBody 0
Lesson.Reading.resources[3].questions[0].options[0].text,,,,questions.11.params.answers.0.text,,,
Lesson.Reading.resources[3].questions[0].options[1].text,,,,questions.11.params.answers.1.text,,,
Lesson.Reading.resources[3].questions[0].options[2].text,,,,questions.11.params.answers.2.text,,,
Lesson.Monologue.resources[1].mp4,,,,questions.12.params.media.params.sources.0.path,,,
Lesson.Monologue.resources[1].questions[0].question,,,,questions.12.params.question,,,
Lesson.Monologue.resources[1].questions[0].options[0].text,,,,questions.12.params.answers.0.text,,,
Lesson.Monologue.resources[1].questions[0].options[1].text,,,,questions.12.params.answers.1.text,,,
Lesson.Monologue.resources[1].questions[0].options[2].text,,,,questions.12.params.answers.2.text,,,
,,,,randomQuestions,VERDADERO,,
,,,,poolSize,10,,
