DATABASE,,,LearnAndDiscover,,,
,,Format,h5p.json,content/content.json,Input,content/
Lesson.source,,,,,,
Lesson.type,,,,,,
Lesson.Listening.skill,,,,,,
Lesson.Listening.competence,,,,,,
Lesson.Listening.introduction,,,,,,
Lesson.Listening.objective,,,,,,
Lesson.Listening.picture,,,,,,
Lesson.Listening.can_do_statements[0].en[0],,Se debe retornar el texto entre el primer par de <li>,,presentation.slides.0.elements.4.action.params.text,,
Lesson.Listening.context.mp4,,,,presentation.slides.1.elements.0.action.params.sources.0.path,,videos/sources-5cd2cad7a713e.mp4
Lesson.Listening.context.poster,,,,presentation.slides.1.elements.0.action.params.visuals.poster.path,,images/poster-5cdacb742b0bd.png
Lesson.Listening.context.subtitles,,,,presentation.slides.1.elements.0.action.params.a11y.0.track.path,,files/track-5cd2ca5132170.vtt
Lesson.Listening.glossary[0].term,,,,presentation.slides.2.elements.0.action.params.dialogs.0.answer,,
Lesson.Listening.glossary[0].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.2.elements.0.action.params.dialogs.0.text,,
Lesson.Listening.glossary[0].picture,,,,presentation.slides.2.elements.0.action.params.dialogs.0.image.path,,images/image-5cd0724d1a6d6.png
Lesson.Listening.glossary[0].mp3,,,,presentation.slides.2.elements.0.action.params.dialogs.0.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3
Lesson.Listening.glossary[1].term,,,,presentation.slides.2.elements.0.action.params.dialogs.1.answer,,
Lesson.Listening.glossary[1].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.2.elements.0.action.params.dialogs.1.text,,
Lesson.Listening.glossary[1].picture,,,,presentation.slides.2.elements.0.action.params.dialogs.1.image.path,,
Lesson.Listening.glossary[1].mp3,,,,presentation.slides.2.elements.0.action.params.dialogs.1.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3
Lesson.Listening.glossary[2].term,,,,presentation.slides.2.elements.0.action.params.dialogs.2.answer,,
Lesson.Listening.glossary[2].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.2.elements.0.action.params.dialogs.2.text,,
Lesson.Listening.glossary[2].picture,,,,presentation.slides.2.elements.0.action.params.dialogs.2.image.path,,images/image-5cd0724d1a6d6.png
Lesson.Listening.glossary[2].mp3,,,,presentation.slides.2.elements.0.action.params.dialogs.2.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3
Lesson.Listening.glossary[3].term,,,,presentation.slides.2.elements.0.action.params.dialogs.3.answer,,
Lesson.Listening.glossary[3].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.2.elements.0.action.params.dialogs.3.text,,
Lesson.Listening.glossary[3].picture,,,,presentation.slides.2.elements.0.action.params.dialogs.3.image.path,,images/image-5cd0724d1a6d6.png
Lesson.Listening.glossary[3].mp3,,,,presentation.slides.2.elements.0.action.params.dialogs.3.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3
Lesson.Listening.glossary[4].term,,,,presentation.slides.2.elements.0.action.params.dialogs.4.answer,,
Lesson.Listening.glossary[4].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.2.elements.0.action.params.dialogs.4.text,,
Lesson.Listening.glossary[4].picture,,,,presentation.slides.2.elements.0.action.params.dialogs.4.image.path,,images/image-5cd0724d1a6d6.png
Lesson.Listening.glossary[4].mp3,,,,presentation.slides.2.elements.0.action.params.dialogs.4.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3
Lesson.Listening.glossary[5].term,,,,presentation.slides.2.elements.0.action.params.dialogs.5.answer,,
Lesson.Listening.glossary[5].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.2.elements.0.action.params.dialogs.5.text,,
Lesson.Listening.glossary[5].picture,,,,presentation.slides.2.elements.0.action.params.dialogs.5.image.path,,images/image-5cd0724d1a6d6.png
Lesson.Listening.glossary[5].mp3,,,,presentation.slides.2.elements.0.action.params.dialogs.5.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3
Lesson.Listening.glossary[6].term,,,,presentation.slides.2.elements.0.action.params.dialogs.6.answer,,
Lesson.Listening.glossary[6].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.2.elements.0.action.params.dialogs.6.text,,
Lesson.Listening.glossary[6].picture,,,,presentation.slides.2.elements.0.action.params.dialogs.6.image.path,,images/image-5cd0724d1a6d6.png
Lesson.Listening.glossary[6].mp3,,,,presentation.slides.2.elements.0.action.params.dialogs.6.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3
Lesson.Listening.glossary[7].term,,,,presentation.slides.2.elements.0.action.params.dialogs.7.answer,,
Lesson.Listening.glossary[7].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.2.elements.0.action.params.dialogs.7.text,,
Lesson.Listening.glossary[7].picture,,,,presentation.slides.2.elements.0.action.params.dialogs.7.image.path,,images/image-5cd0724d1a6d6.png
Lesson.Listening.glossary[7].mp3,,,,presentation.slides.2.elements.0.action.params.dialogs.7.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3
Lesson.Listening.glossary[8].term,,,,presentation.slides.2.elements.0.action.params.dialogs.8.answer,,
Lesson.Listening.glossary[8].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.2.elements.0.action.params.dialogs.8.text,,
Lesson.Listening.glossary[8].picture,,,,presentation.slides.2.elements.0.action.params.dialogs.8.image.path,,images/image-5cd0724d1a6d6.png
Lesson.Listening.glossary[8].mp3,,,,presentation.slides.2.elements.0.action.params.dialogs.8.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3
Lesson.Listening.glossary[9].term,,,,presentation.slides.2.elements.0.action.params.dialogs.9.answer,,
Lesson.Listening.glossary[9].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.2.elements.0.action.params.dialogs.9.text,,
Lesson.Listening.glossary[9].picture,,,,presentation.slides.2.elements.0.action.params.dialogs.9.image.path,,images/image-5cd0724d1a6d6.png
Lesson.Listening.glossary[9].mp3,,,,presentation.slides.2.elements.0.action.params.dialogs.9.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3
