DATABASE,,,Pronunciation,,,,
,,,h5p.json,content/content.json,Input,Assets,Format
Lesson.Listening.glossary[0].term,,,,questions.0.params.question,,,
Lesson.Listening.glossary[0].mp3,,,,questions.0.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3,
Lesson.Listening.glossary[1].term,,,,questions.1.params.question,,,
Lesson.Listening.glossary[1].mp3,,,,questions.1.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3,
Lesson.Listening.glossary[2].term,,,,questions.2.params.question,,,
Lesson.Listening.glossary[2].mp3,,,,questions.2.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3,
Lesson.Writing.glossary[0].term,,,,questions.3.params.question,,,
Lesson.Writing.glossary[0].mp3,,,,questions.3.audio.path,,,
Lesson.Writing.glossary[1].term,,,,questions.4.params.question,,,
Lesson.Writing.glossary[1].mp3,,,,questions.4.audio.path,,,
Lesson.Writing.glossary[2].term,,,,questions.5.params.question,,,
Lesson.Writing.glossary[2].mp3,,,,questions.5.audio.path,,,
Lesson.Reading.glossary[0].term,,,,questions.6.params.question,,,
Lesson.Reading.glossary[0].mp3,,,,questions.6.audio.path,,,
Lesson.Reading.glossary[1].term,,,,questions.7.params.question,,,
Lesson.Reading.glossary[1].mp3,,,,questions.7.audio.path,,,
Lesson.Reading.glossary[2].term,,,,questions.8.params.question,,,
Lesson.Reading.glossary[2].mp3,,,,questions.8.audio.path,,,
Lesson.Monologue.glossary[0].term,,,,questions.9.params.question,,,
Lesson.Monologue.glossary[0].mp3,,,,questions.9.audio.path,,,
Lesson.Monologue.glossary[1].term,,,,questions.10.params.question,,,
Lesson.Monologue.glossary[1].mp3,,,,questions.10.audio.path,,,
Lesson.Monologue.glossary[2].term,,,,questions.11.params.question,,,
Lesson.Monologue.glossary[2].mp3,,,,questions.11.audio.path,,,
Lesson.Conversation.glossary[0].term,,,,questions.12.params.question,,,
Lesson.Conversation.glossary[0].mp3,,,,questions.12.audio.path,,,
Lesson.Conversation.glossary[1].term,,,,questions.13.params.question,,,
Lesson.Conversation.glossary[1].mp3,,,,questions.13.audio.path,,,
Lesson.Conversation.glossary[2].term,,,,questions.14.params.question,,,
Lesson.Conversation.glossary[2].mp3,,,,questions.14.audio.path,,,
